unit_number,apu_type,has_optimized_idle,continuous_idle_h_30d,learned_pattern,engine_off_share,notes
688,,,357.2,continuous_only,18%,"only ever idles continuously — if truly no equipment, set apu_type=none"
710,,,356.1,continuous_only,6%,"only ever idles continuously — if truly no equipment, set apu_type=none"
671,,,347.5,continuous_only,5%,"only ever idles continuously — if truly no equipment, set apu_type=none"
665,,,336.2,continuous_only,0%,"only ever idles continuously — if truly no equipment, set apu_type=none"
664,,,322.7,continuous_only,3%,"only ever idles continuously — if truly no equipment, set apu_type=none"
722,,,319.9,continuous_only,17%,"only ever idles continuously — if truly no equipment, set apu_type=none"
607,,,312.7,continuous_only,12%,"only ever idles continuously — if truly no equipment, set apu_type=none"
656,,,301.6,continuous_only,22%,"only ever idles continuously — if truly no equipment, set apu_type=none"
709,,,298.7,continuous_only,22%,"only ever idles continuously — if truly no equipment, set apu_type=none"
711,,,287.6,continuous_only,24%,"only ever idles continuously — if truly no equipment, set apu_type=none"
666,,,285.9,apu,26%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
706,,,283.6,continuous_only,16%,"only ever idles continuously — if truly no equipment, set apu_type=none"
674,,,283.6,continuous_only,11%,"only ever idles continuously — if truly no equipment, set apu_type=none"
707,,,281.8,apu,34%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
693,,,280.9,continuous_only,0%,"only ever idles continuously — if truly no equipment, set apu_type=none"
701,,,277.3,apu,29%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
571,,,276.2,apu,27%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
657,,,275.6,continuous_only,12%,"only ever idles continuously — if truly no equipment, set apu_type=none"
642,,,275.3,continuous_only,4%,"only ever idles continuously — if truly no equipment, set apu_type=none"
604,,,273.8,continuous_only,17%,"only ever idles continuously — if truly no equipment, set apu_type=none"
662,,,269.6,apu,37%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
646,,,265.6,apu,41%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
572,,,263.6,continuous_only,25%,"only ever idles continuously — if truly no equipment, set apu_type=none"
668,,,254,continuous_only,16%,"only ever idles continuously — if truly no equipment, set apu_type=none"
774,,,249.5,apu,34%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
637,,,246,continuous_only,8%,"only ever idles continuously — if truly no equipment, set apu_type=none"
731,,,244.8,apu,37%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
650,,,237.1,apu,52%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
659,,,232.5,apu,33%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
673,,,230.3,apu,47%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
658,,,228.3,continuous_only,12%,"only ever idles continuously — if truly no equipment, set apu_type=none"
676,,,220.3,apu,45%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
603,,,220,continuous_only,10%,"only ever idles continuously — if truly no equipment, set apu_type=none"
645,,,213,apu,50%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
683,,,211.7,apu,50%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
678,,,207.9,continuous_only,12%,"only ever idles continuously — if truly no equipment, set apu_type=none"
691,,,206.7,continuous_only,13%,"only ever idles continuously — if truly no equipment, set apu_type=none"
699,,,204.5,apu,56%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
705,,,203.3,apu,46%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
687,,,202,apu,34%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
641,,,197.6,apu,48%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
655,,,193,apu,35%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
695,,,192.6,apu,48%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
686,,,191.1,apu,42%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
692,,,188.3,apu,52%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
670,,,186,apu,42%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
684,,,182.9,apu,49%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
569,,,180.3,apu,58%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
651,,,180,apu,47%,rests engine-off — likely diesel_apu or battery_hvac; confirm which
